5	A: 3. 
15	A: 4. 
Time (s): 0.0935883
5	A: 3. 
15	A: 4. 
Time (s): 0.0940449
5	A: 3. 
15	A: 4. 
Time (s): 0.0945014
5	A: 3. 
15	A: 4. 
Time (s): 0.0949579
5	A: 3. 
15	A: 4. 
Time (s): 0.0954144
5	A: 3. 
15	A: 4. 
Time (s): 0.095871
5	A: 3. 
15	A: 4. 
Time (s): 0.0963275
5	A: 3. 
15	A: 4. 
Time (s): 0.096784
5	A: 3. 
15	A: 4. 
Time (s): 0.0972406
5	A: 3. 
15	A: 4. 
Time (s): 0.0976971
5	A: 3. 
15	A: 4. 
Time (s): 0.0981536
5	A: 3. 
15	A: 4. 
Time (s): 0.0986101
5	A: 3. 
15	A: 4. 
Time (s): 0.0990667
5	A: 3. 
15	A: 4. 
Time (s): 0.0995232
5	A: 3. 
15	A: 4. 
Time (s): 0.0999797
5	A: 3. 
15	A: 4. 
Time (s): 0.100436
5	A: 3. 
15	A: 4. 
Time (s): 0.100893
5	A: 3. 
15	A: 4. 
Time (s): 0.101349
5	A: 3. 
15	A: 4. 
Time (s): 0.101806
5	A: 3. 
15	A: 4. 
Time (s): 0.102262
5	A: 3. 
15	A: 4. 
Time (s): 0.102719
5	A: 3. 
15	A: 4. 
Time (s): 0.103175
5	A: 3. 
15	A: 4. 
Time (s): 0.103632
5	A: 3. 
15	A: 4. 
Time (s): 0.104088
5	A: 3. 
15	A: 4. 
Time (s): 0.104545
5	A: 3. 
15	A: 4. 
Time (s): 0.105002
5	A: 3. 
15	A: 4. 
Time (s): 0.105458
5	A: 3. 
15	A: 4. 
Time (s): 0.105915
5	A: 3. 
15	A: 4. 
Time (s): 0.106371
5	A: 3. 
15	A: 4. 
Time (s): 0.106828
5	A: 3. 
15	A: 4. 
Time (s): 0.107284
5	A: 3. 
15	A: 4. 
Time (s): 0.107741
5	A: 3. 
15	A: 4. 
Time (s): 0.108197
5	A: 3. 
15	A: 4. 
Time (s): 0.108654
5	A: 3. 
15	A: 4. 
Time (s): 0.10911
5	A: 3. 
15	A: 4. 
Time (s): 0.109567
5	A: 3. 
15	A: 4. 
Time (s): 0.110023
5	A: 3. 
15	A: 4. 
Time (s): 0.11048
5	A: 3. 
15	A: 4. 
Time (s): 0.110936
5	A: 3. 
15	A: 4. 
Time (s): 0.111393
5	A: 3. 
15	A: 4. 
Time (s): 0.111849
5	A: 3. 
15	A: 4. 
Time (s): 0.112306
5	A: 3. 
15	A: 4. 
Time (s): 0.112763
5	A: 3. 
15	A: 4. 
Time (s): 0.113219
5	A: 3. 
15	A: 4. 
Time (s): 0.113676
5	A: 3. 
15	A: 4. 
Time (s): 0.114132
5	A: 3. 
15	A: 4. 
Time (s): 0.114589
5	A: 3. 
15	A: 4. 
Time (s): 0.115045
