Time (s): 0.0568
3	A: 6. 
17	A: 2. 
6	A: 3. 
60	A: 1. 
Time (s): 0.0572
3	A: 6. 
17	A: 2. 
6	A: 3. 
60	A: 1. 
Time (s): 0.0576
3	A: 6. 
17	A: 2. 
6	A: 3. 
60	A: 1. 
Time (s): 0.058
3	A: 6. 
17	A: 2. 
6	A: 3. 
60	A: 1. 
Time (s): 0.0584
3	A: 6. 
17	A: 2. 
6	A: 3. 
60	A: 1. 
Time (s): 0.0588
3	A: 6. 
17	A: 2. 
6	A: 3. 
60	A: 1. 
Time (s): 0.0592
3	A: 6. 
17	A: 2. 
6	A: 3. 
60	A: 1. 
Time (s): 0.0596
3	A: 6. 
17	A: 2. 
6	A: 3. 
60	A: 1. 
Time (s): 0.06
2	A: 6. 
17	A: 2. 
1	A: 7. 
6	A: 3. 
59	A: 1. 
Time (s): 0.0604
2	A: 6. 
17	A: 2. 
1	A: 7. 
6	A: 3. 
59	A: 1. 
Time (s): 0.0608
2	A: 6. 
17	A: 2. 
1	A: 7. 
6	A: 3. 
59	A: 1. 
Time (s): 0.0612
2	A: 6. 
17	A: 2. 
1	A: 7. 
6	A: 3. 
59	A: 1. 
Time (s): 0.0616
2	A: 6. 
17	A: 2. 
1	A: 7. 
6	A: 3. 
59	A: 1. 
Time (s): 0.062
2	A: 6. 
17	A: 2. 
1	A: 7. 
6	A: 3. 
59	A: 1. 
Time (s): 0.0624
2	A: 6. 
17	A: 2. 
1	A: 7. 
6	A: 3. 
59	A: 1. 
