TIME(s)	'A,L'	'H,L'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0.123291	41	40	0	0	0	0	0	0	0	344
0.123549	42	40	0	0	0	0	0	0	0	345
0.123808	42	40	0	0	0	0	0	0	0	345
0.124066	42	40	0	0	0	0	0	0	0	346
0.124325	42	40	0	0	0	0	0	0	0	346
0.124583	42	40	0	0	0	0	0	0	0	347
0.124842	42	40	0	0	0	0	0	0	0	347
0.1251	43	39	0	0	0	0	0	0	0	348
0.125359	43	39	0	0	0	0	0	0	0	348
0.125617	44	39	0	0	0	0	0	0	0	349
0.125876	43	39	0	0	0	0	0	0	0	349
0.126134	43	39	0	0	0	0	0	0	0	350
0.126392	45	41	0	0	0	0	0	0	0	354
0.126651	45	41	0	0	0	0	0	0	0	354
0.126909	44	42	0	0	0	0	0	0	0	355
0.127168	44	42	0	0	0	0	0	0	0	355
0.127426	44	43	0	0	0	0	0	0	0	356
0.127685	44	42	0	0	0	0	0	0	0	356
0.127943	43	42	0	0	0	0	0	0	0	356
0.128202	41	42	0	0	0	0	0	0	0	356
0.12846	40	42	0	0	0	0	0	0	0	356
0.128719	40	42	0	0	0	0	0	0	0	356
0.128977	40	42	0	0	0	0	0	0	0	356
0.129235	41	42	0	0	0	0	0	0	0	357
